date,ref_name,ref,commit_sha,label,time,rss,vms
2023-07-20T14-06-59,main,refs/heads/main,7251c28f7692b402342693164087df3ec1fe512f,Truth Tracking GSF,29.914626,519348224,718217216
2023-07-20T14-06-59,main,refs/heads/main,7251c28f7692b402342693164087df3ec1fe512f,Truth Tracking KF,0.000326,4096,6615040
2023-07-20T14-06-59,main,refs/heads/main,7251c28f7692b402342693164087df3ec1fe512f,Vertexing,0.606298,251179008,405188608
2023-07-21T11-00-06,main,refs/heads/main,b30f67871d0cf4ece60824ef971d4049e3417fd9,CKF Tracking,14.612683,611229696,787550208
2023-07-21T11-00-06,main,refs/heads/main,b30f67871d0cf4ece60824ef971d4049e3417fd9,Simulation,6.442516,588898304,877109248
2023-07-21T11-00-06,main,refs/heads/main,b30f67871d0cf4ece60824ef971d4049e3417fd9,Truth Tracking GSF,23.54337,519364608,718229504
2023-07-21T11-00-06,main,refs/heads/main,b30f67871d0cf4ece60824ef971d4049e3417fd9,Truth Tracking KF,0.10087,23298048,152662016
2023-07-21T11-00-06,main,refs/heads/main,b30f67871d0cf4ece60824ef971d4049e3417fd9,Vertexing,38.18253,851308544,1056018432
2023-07-21T21-33-22,main,refs/heads/main,22fa536da0ba131592a298346e7d51051b3a7cdf,CKF Tracking,14.613735,608333824,788267008
2023-07-21T21-33-22,main,refs/heads/main,22fa536da0ba131592a298346e7d51051b3a7cdf,Simulation,6.039958,573636608,819535872
2023-07-21T21-33-22,main,refs/heads/main,22fa536da0ba131592a298346e7d51051b3a7cdf,Truth Tracking GSF,23.783208,519802880,718233600
2023-07-21T21-33-22,main,refs/heads/main,22fa536da0ba131592a298346e7d51051b3a7cdf,Truth Tracking KF,1.409,425500672,613072896
2023-07-21T21-33-22,main,refs/heads/main,22fa536da0ba131592a298346e7d51051b3a7cdf,Vertexing,38.1894,854974464,1103859712
2023-07-24T15-58-53,main,refs/heads/main,dbcba62d14fdfce8c7af229d598cd65126efc8ca,CKF Tracking,9.923928,600330240,788086784
2023-07-24T15-58-53,main,refs/heads/main,dbcba62d14fdfce8c7af229d598cd65126efc8ca,Simulation,9.69131,592445440,819220480
2023-07-24T15-58-53,main,refs/heads/main,dbcba62d14fdfce8c7af229d598cd65126efc8ca,Truth Tracking GSF,27.04952,510197760,712978432
2023-07-24T15-58-53,main,refs/heads/main,dbcba62d14fdfce8c7af229d598cd65126efc8ca,Truth Tracking KF,0.000466,4096,7053312
2023-07-24T15-58-53,main,refs/heads/main,dbcba62d14fdfce8c7af229d598cd65126efc8ca,Vertexing,2.324138,446509056,614309888
2023-07-25T15-33-32,main,refs/heads/main,21cb496b3e8aef5531e4c5191288abe8c60f784b,CKF Tracking,8.567374,601997312,780828672
2023-07-25T15-33-32,main,refs/heads/main,21cb496b3e8aef5531e4c5191288abe8c60f784b,Simulation,76.364399,981680128,1148428288
2023-07-25T15-33-32,main,refs/heads/main,21cb496b3e8aef5531e4c5191288abe8c60f784b,Truth Tracking GSF,24.475355,520212480,718241792
2023-07-25T15-33-32,main,refs/heads/main,21cb496b3e8aef5531e4c5191288abe8c60f784b,Truth Tracking KF,1.813031,445259776,616570880
2023-07-25T15-33-32,main,refs/heads/main,21cb496b3e8aef5531e4c5191288abe8c60f784b,Vertexing,38.613456,851927040,1102151680
2023-07-26T10-02-39,main,refs/heads/main,5252d0755238ca2157fb4d16f37ec6cc72f1faf6,CKF Tracking,9.716641,597176320,772874240
2023-07-26T10-02-39,main,refs/heads/main,5252d0755238ca2157fb4d16f37ec6cc72f1faf6,Simulation,8.573248,589094912,819658752
2023-07-26T10-02-39,main,refs/heads/main,5252d0755238ca2157fb4d16f37ec6cc72f1faf6,Truth Tracking GSF,27.453107,521404416,718368768
2023-07-26T10-02-39,main,refs/heads/main,5252d0755238ca2157fb4d16f37ec6cc72f1faf6,Truth Tracking KF,0.000418,4096,6615040
2023-07-26T10-02-39,main,refs/heads/main,5252d0755238ca2157fb4d16f37ec6cc72f1faf6,Vertexing,2.31903,447188992,613265408
2023-07-26T15-37-45,main,refs/heads/main,9cdf2fe4d07161a80564808d1e1238eb8a8716c8,CKF Tracking,2.014122,447352832,619671552
2023-07-26T15-37-45,main,refs/heads/main,9cdf2fe4d07161a80564808d1e1238eb8a8716c8,Simulation,6.74769,591126528,876834816
2023-07-26T15-37-45,main,refs/heads/main,9cdf2fe4d07161a80564808d1e1238eb8a8716c8,Truth Tracking GSF,23.58108,494817280,696483840
2023-07-26T15-37-45,main,refs/heads/main,9cdf2fe4d07161a80564808d1e1238eb8a8716c8,Truth Tracking KF,0.100827,23351296,152657920
2023-07-26T15-37-45,main,refs/heads/main,9cdf2fe4d07161a80564808d1e1238eb8a8716c8,Vertexing,1.913346,446193664,613277696
2023-07-26T18-37-17,main,refs/heads/main,8ff2bcd3574d89721fa4c9bed47259362ecbb0e6,CKF Tracking,18.25025,609480704,782307328
2023-07-26T18-37-17,main,refs/heads/main,8ff2bcd3574d89721fa4c9bed47259362ecbb0e6,Simulation,6.645614,591908864,877101056
2023-07-26T18-37-17,main,refs/heads/main,8ff2bcd3574d89721fa4c9bed47259362ecbb0e6,Truth Tracking GSF,23.455541,489562112,699523072
2023-07-26T18-37-17,main,refs/heads/main,8ff2bcd3574d89721fa4c9bed47259362ecbb0e6,Truth Tracking KF,0.100889,25010176,152657920
2023-07-26T18-37-17,main,refs/heads/main,8ff2bcd3574d89721fa4c9bed47259362ecbb0e6,Vertexing,1.912831,446582784,614551552
2023-07-27T13-38-41,main,refs/heads/main,1e2eb5d0c2326ed9e550f5a507bedda570c99852,CKF Tracking,11.597345,599789568,774799360
2023-07-27T13-38-41,main,refs/heads/main,1e2eb5d0c2326ed9e550f5a507bedda570c99852,Simulation,6.039099,574976000,879669248
2023-07-27T13-38-41,main,refs/heads/main,1e2eb5d0c2326ed9e550f5a507bedda570c99852,Truth Tracking GSF,23.658489,519880704,718233600
2023-07-27T13-38-41,main,refs/heads/main,1e2eb5d0c2326ed9e550f5a507bedda570c99852,Truth Tracking KF,2.013052,446390272,618397696
2023-07-27T13-38-41,main,refs/heads/main,1e2eb5d0c2326ed9e550f5a507bedda570c99852,Vertexing,38.102906,864477184,1104920576
2023-07-27T17-29-05,main,refs/heads/main,aa860d75e8f2f4ee60051f3ad29fff0153701a04,CKF Tracking,9.809103,601165824,788033536
2023-07-27T17-29-05,main,refs/heads/main,aa860d75e8f2f4ee60051f3ad29fff0153701a04,Simulation,5.856774,574545920,877015040
2023-07-27T17-29-05,main,refs/heads/main,aa860d75e8f2f4ee60051f3ad29fff0153701a04,Truth Tracking GSF,26.534704,494399488,701837312
2023-07-27T17-29-05,main,refs/heads/main,aa860d75e8f2f4ee60051f3ad29fff0153701a04,Truth Tracking KF,0.000259,286720,3248128
2023-07-27T17-29-05,main,refs/heads/main,aa860d75e8f2f4ee60051f3ad29fff0153701a04,Vertexing,2.220944,446304256,619540480
2023-07-27T18-01-46,main,refs/heads/main,96ead7c75094c874cb103d51fc38e3cb951bc846,CKF Tracking,8.57697,597966848,773636096
2023-07-27T18-01-46,main,refs/heads/main,96ead7c75094c874cb103d51fc38e3cb951bc846,Simulation,6.744115,590958592,877015040
2023-07-27T18-01-46,main,refs/heads/main,96ead7c75094c874cb103d51fc38e3cb951bc846,Truth Tracking GSF,24.266256,517754880,718196736
2023-07-27T18-01-46,main,refs/heads/main,96ead7c75094c874cb103d51fc38e3cb951bc846,Truth Tracking KF,0.302251,107413504,354926592
2023-07-27T18-01-46,main,refs/heads/main,96ead7c75094c874cb103d51fc38e3cb951bc846,Vertexing,29.419116,846639104,1092489216
2023-07-28T08-50-23,main,refs/heads/main,6b2533fe8fa50b09e7d4c444dafe9ff3a4cf7375,CKF Tracking,8.275541,600113152,788037632
2023-07-28T08-50-23,main,refs/heads/main,6b2533fe8fa50b09e7d4c444dafe9ff3a4cf7375,Simulation,7.566505,592908288,819580928
2023-07-28T08-50-23,main,refs/heads/main,6b2533fe8fa50b09e7d4c444dafe9ff3a4cf7375,Truth Tracking GSF,22.663028,492584960,701857792
2023-07-28T08-50-23,main,refs/heads/main,6b2533fe8fa50b09e7d4c444dafe9ff3a4cf7375,Truth Tracking KF,0.101156,21000192,152616960
2023-07-28T08-50-23,main,refs/heads/main,6b2533fe8fa50b09e7d4c444dafe9ff3a4cf7375,Vertexing,1.815203,446185472,615387136
2023-07-28T09-07-46,main,refs/heads/main,1a1660e39a38ddb900d533c76ed2ae06666a1d41,CKF Tracking,15.239798,612450304,781496320
2023-07-28T09-07-46,main,refs/heads/main,1a1660e39a38ddb900d533c76ed2ae06666a1d41,Simulation,6.645899,588763136,877015040
2023-07-28T09-07-46,main,refs/heads/main,1a1660e39a38ddb900d533c76ed2ae06666a1d41,Truth Tracking GSF,23.850837,519106560,718196736
